Year,Title,Gross,Theaters,Distributor
2022,Top Gun: Maverick,"$718,162,243 ","4,751",Paramount Pictures
2022,Doctor Strange in the Multiverse of Madness,"$411,331,607 ","4,534",Walt Disney Studios Motion Pictures
2022,Black Panther: Wakanda Forever,"$410,848,933 ","4,396",Walt Disney Studios Motion Pictures
2022,Jurassic World: Dominion,"$376,009,080 ","4,697",Universal Pictures
2022,Minions: The Rise of Gru,"$369,500,210 ","4,427",Universal Pictures
2022,The Batman,"$369,345,583 ","4,417",Warner Bros.
2022,Thor: Love and Thunder,"$343,256,830 ","4,375",Walt Disney Studios Motion Pictures
2022,Spider-Man: No Way Home,"$231,808,708 ","4,336",Sony Pictures Entertainment (SPE)
2022,Sonic the Hedgehog 2,"$190,872,904 ","4,258",Paramount Pictures
2022,Black Adam,"$166,956,034 ","4,402",Warner Bros.
2021,Spider-Man: No Way Home,"$572,984,769 ","4,336",Sony Pictures Entertainment (SPE)
2021,Shang-Chi and the Legend of the Ten Rings,"$224,543,292 ","4,300",Walt Disney Studios Motion Pictures
2021,Venom: Let There Be Carnage,"$212,609,036 ","4,225",Sony Pictures Entertainment (SPE)
2021,Black Widow,"$183,651,655 ","4,275",Walt Disney Studios Motion Pictures
2021,F9: The Fast Saga,"$173,005,945 ","4,203",Universal Pictures
2021,Eternals,"$164,616,321 ","4,090",Walt Disney Studios Motion Pictures
2021,No Time to Die,"$160,772,007 ","4,407",Metro-Goldwyn-Mayer (MGM)
2021,A Quiet Place Part II,"$160,072,261 ","3,744",Paramount Pictures
2021,Ghostbusters: Afterlife,"$122,378,960 ","4,315",Sony Pictures Entertainment (SPE)
2021,Free Guy,"$121,626,598 ","4,165",20th Century Studios
2020,Bad Boys for Life,"$204,417,855 ","3,775",Sony Pictures Entertainment (SPE)
2020,1917,"$157,901,466 ","3,987",Universal Pictures
2020,Sonic the Hedgehog,"$146,066,470 ","4,198",Paramount Pictures
2020,Jumanji: The Next Level,"$124,736,710 ","4,227",Sony Pictures Entertainment (SPE)
2020,Star Wars: Episode IX - The Rise of Skywalker,"$124,496,308 ","4,406",Walt Disney Studios Motion Pictures
2020,Birds of Prey,"$84,158,461 ","4,236",Warner Bros.
2020,Dolittle,"$77,047,065 ","4,155",Universal Pictures
2020,Little Women,"$70,508,087 ","3,308",Sony Pictures Entertainment (SPE)
2020,The Invisible Man,"$64,914,050 ","3,636",Universal Pictures
2020,The Call of the Wild,"$62,342,368 ","3,914",20th Century Studios
2019,Avengers: Endgame,"$858,373,000 ","4,662",Walt Disney Studios Motion Pictures
2019,The Lion King,"$543,638,043 ","4,802",Walt Disney Studios Motion Pictures
2019,Toy Story 4,"$434,038,008 ","4,575",Walt Disney Studios Motion Pictures
2019,Frozen II,"$430,144,682 ","4,440",Walt Disney Studios Motion Pictures
2019,Captain Marvel,"$426,829,839 ","4,310",Walt Disney Studios Motion Pictures
2019,Star Wars: Episode IX - The Rise of Skywalker,"$390,706,234 ","4,406",Walt Disney Studios Motion Pictures
2019,Spider-Man: Far from Home,"$390,532,085 ","4,634",Sony Pictures Entertainment (SPE)
2019,Aladdin,"$355,559,216 ","4,476",Walt Disney Studios Motion Pictures
2019,Joker,"$333,772,511 ","4,374",Warner Bros.
2019,It Chapter Two,"$211,593,228 ","4,570",Warner Bros.
2018,Black Panther,"$700,059,566 ","4,084",Walt Disney Studios Motion Pictures
2018,Avengers: Infinity War,"$678,815,482 ","4,474",Walt Disney Studios Motion Pictures
2018,Incredibles 2,"$608,581,744 ","4,410",Walt Disney Studios Motion Pictures
2018,Jurassic World: Fallen Kingdom,"$417,719,760 ","4,485",Universal Pictures
